unique_id,Brand ,Gender ,Age Group ,Color ,Size ,Condition ,Category ,Type ,Clothing Size 
0005418e4097cb7a2621127327857fdb, Viugreum,,,,,,,,
00070dc75031484ed72a2645ce1043f9, Dteck,,,,,,,,
000841496f3d55e279131cdbdf227bed, Fossil,,,,,,,,
000841496f3d55e279131cdbdf227bed,,,, Rose Gold,,,,,
000920c517990ffeaf8a5b343cb7e6f6, Unique Bargains,,,,,,,,
000a1e8ef41490dc9081355f23aa0cc5, MIARHB,,,,,,,,
000f1aca57522823f9e66abd8665988d, UKAP,,,,,,,,
000fb2cd7e2f76dd52224dd6b76e4186, Briggs & Stratton,,,,,,,,
00104ca2cc4c8c859d5abb2309de3e3c, Baldwin,,,,,,,,
001240ce3c9afbaf17ee17433126fa6f, Ma&Baby,,,,,,,,
001409364262505073bfcb7304f10eb6, MEDca,,,,,,,,
00143fd2a9bd6a51520025f530202e96, CVLIFE,,,,,,,,
00155bfd0eaa1717256c9917b0b42a4b, Goodworld,,,,,,,,
0015d51d4d4aa79a9d9b3dd63b0187bd, Autcarible,,,,,,,,
001f04bf1b716253910a0b3ec752ede3, Durasafe Cases,,,,,,,,
001f0c857e98a14c1e622711e0de6896, Beats by Dr. Dre,,,,,,,,
0023fb4b2c5c254249d8e34cafeb72f2, V.I.P.,,,,,,,,
00244ed0e9d20520470780b11d9ea2e1, Goplus,,,,,,,,
00244ed0e9d20520470780b11d9ea2e1,,,, Black,,,,,
00265a68a92f728a2b4e9e0b55df0cba, UKAP,,,,,,,,
002673055c538f90b2e51aa3c1a05834, Akoyovwerve,,,,,,,,
0027e6b0e3b05daf3544e0208dc69526, HiMiss,,,,,,,,
0027e6b0e3b05daf3544e0208dc69526,, Unisex,,,,,,,
00288b40a4d9608c46ce42929fd1ef72, Goodworld,,,,,,,,
002a03245da250c5c046d34024aede19, C by GE,,,,,,,,
002a52723b208789fc3b9584c632512e, Aibecy,,,,,,,,
003189612ed5980a451ee8dfbfa62822, iHip,,,,,,,,
0033b37cfa80d699ccd9737853fe96b1,,,, Other,,,,,
0033b37cfa80d699ccd9737853fe96b1, Colosseum Athletics,,,,,,,,
